"","journal","category2","journalimpactfactor","hindex","journalcountry","publisher","coverage","eigenfactorscore","whoregionjournal","unregionjournal","worldbankregionjournal","economicjournal","Genderinequalityindex2019","gender_unknown","gender_numerator","gender_denominator","unknown_denominator","gender_pct","unknown_pct","gender_neat","unknown_neat","AB_num","AB_den","AB_pct","AB_neat","EiC_num","EiC_den","EiC_pct","EiC_neat","EB_num","EB_den","EB_pct","EB_neat","EL_num","EL_den","EL_pct","EL_neat","EC_num","EC_den","EC_pct","EC_neat","WHO_AF_n","WHO_AF_pct","WHO_AF_neat","WHO_AM_n","WHO_AM_pct","WHO_AM_neat","WHO_EM_n","WHO_EM_pct","WHO_EM_neat","WHO_EU_n","WHO_EU_pct","WHO_EU_neat","WHO_SEA_n","WHO_SEA_pct","WHO_SEA_neat","WHO_unknown_n","WHO_unknown_pct","WHO_unknown_neat","WHO_WP_n","WHO_WP_pct","WHO_WP_neat","HIC_n","HIC_pct","HIC_neat","LIC_n","LIC_pct","LIC_neat","LMIC_n","LMIC_pct","LMIC_neat","eco_unknown_n","eco_unknown_pct","eco_unknown_neat","UMIC_n","UMIC_pct","UMIC_neat","WB_EAP_n","WB_EAP_pct","WB_EAP_neat","WB_ECA_n","WB_ECA_pct","WB_ECA_neat","WB_LAC_n","WB_LAC_pct","WB_LAC_neat","WB_MENA_n","WB_MENA_pct","WB_MENA_neat","WB_NA_n","WB_NA_pct","WB_NA_neat","WB_SA_n","WB_SA_pct","WB_SA_neat","WB_SSA_n","WB_SSA_pct","WB_SSA_neat","WB_unknown_n","WB_unknown_pct","WB_unknown_neat","UN_AF_n","UN_AF_pct","UN_AF_neat","UN_AP_n","UN_AP_pct","UN_AP_neat","UN_EE_n","UN_EE_pct","UN_EE_neat","UN_LAC_n","UN_LAC_pct","UN_LAC_neat","UN_unknown_n","UN_unknown_pct","UN_unknown_neat","UN_WEO_n","UN_WEO_pct","UN_WEO_neat"
"323","International Journal of Qualitative Studies on Health and Well-Being","PEO Health","1.368",31,"United Kingdom","Taylor and Francis Ltd.","2006-2020",0.00204,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,16,25,25,"64%","0%","64% (16)","0% (0)",NA,NA,NA,NA,"1","1","100.0%","100.0% (1)","16","25","64.0%","64.0% (16)","4","4","100.0%","100.0% (4)",NA,NA,NA,NA,"4","16.0%","16.0% (4)","3","12.0%","12.0% (3)","1","4.0%","4.0% (1)","15","60.0%","60.0% (15)",NA,NA,NA,NA,NA,NA,"2","8.0%","8.0% (2)","17","68.0%","68.0% (17)",NA,NA,NA,"1","4.0%","4.0% (1)",NA,NA,NA,"7","28.0%","28.0% (7)","2","8.0%","8.0% (2)","15","60.0%","60.0% (15)","1","4.0%","4.0% (1)","1","4.0%","4.0% (1)","2","8.0%","8.0% (2)",NA,NA,NA,"4","16.0%","16.0% (4)",NA,NA,NA,"4","16.0%","16.0% (4)","3","12.0%","12.0% (3)",NA,NA,NA,"1","4.0%","4.0% (1)",NA,NA,NA,"17","68.0%","68.0% (17)"
"324","International Journal of Sediment Research","Environment","2.577",37,"Netherlands","Elsevier BV","1981-1987, 1991, 2000-2020",0.00142,"Europe","Western European and Other","Europe and Central Asia","High-income",".043",5,11,87,92,"12%","5%","12% (11)","5% (5)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","11","87","12.6%","12.6% (11)","2","25","8.0%","8.0% (2)",NA,NA,NA,NA,"1","1.1%","1.1% (1)","18","19.6%","19.6% (18)","2","2.2%","2.2% (2)","22","23.9%","23.9% (22)","8","8.7%","8.7% (8)",NA,NA,NA,"41","44.6%","44.6% (41)","47","51.1%","51.1% (47)",NA,NA,NA,"7","7.6%","7.6% (7)",NA,NA,NA,"38","41.3%","41.3% (38)","44","47.8%","47.8% (44)","22","23.9%","23.9% (22)","2","2.2%","2.2% (2)","2","2.2%","2.2% (2)","16","17.4%","17.4% (16)","5","5.4%","5.4% (5)","1","1.1%","1.1% (1)",NA,NA,NA,"1","1.1%","1.1% (1)","51","55.4%","55.4% (51)","2","2.2%","2.2% (2)","2","2.2%","2.2% (2)",NA,NA,NA,"36","39.1%","39.1% (36)"
"325","International Journal of Sexual Health","PEO Health","1.191",38,"United States","Routledge","2007-2020",0.00089,"Americas","Western European and Other","North America","High-income",".204",1,27,60,61,"44%","2%","44% (27)","2% (1)","26","58","44.8%","44.8% (26)","0","1","0.0%","0.0% (0)","1","2","50.0%","50.0% (1)","1","2","50.0%","50.0% (1)",NA,NA,NA,NA,NA,NA,NA,"44","72.1%","72.1% (44)",NA,NA,NA,"14","23.0%","23.0% (14)","2","3.3%","3.3% (2)",NA,NA,NA,"1","1.6%","1.6% (1)","56","91.8%","91.8% (56)",NA,NA,NA,"2","3.3%","3.3% (2)",NA,NA,NA,"3","4.9%","4.9% (3)","1","1.6%","1.6% (1)","14","23.0%","23.0% (14)","3","4.9%","4.9% (3)",NA,NA,NA,"41","67.2%","67.2% (41)","2","3.3%","3.3% (2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","4.9%","4.9% (3)","1","1.6%","1.6% (1)","3","4.9%","4.9% (3)",NA,NA,NA,"54","88.5%","88.5% (54)"
"326","International Journal of Sustainable Transportation","Environment","2.709",41,"United Kingdom","Taylor and Francis Ltd.","2007-2020",0.00241,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",2,10,43,45,"24%","4%","24% (10)","4% (2)",NA,NA,NA,NA,"0","2","0.0%","0.0% (0)","10","43","23.3%","23.3% (10)","0","5","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"22","48.9%","48.9% (22)",NA,NA,NA,"4","8.9%","8.9% (4)","1","2.2%","2.2% (1)",NA,NA,NA,"18","40.0%","40.0% (18)","43","95.6%","95.6% (43)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","4.4%","4.4% (2)","19","42.2%","42.2% (19)","4","8.9%","8.9% (4)",NA,NA,NA,NA,NA,NA,"22","48.9%","48.9% (22)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","33.3%","33.3% (15)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","66.7%","66.7% (30)"
"327","INTERNATIONAL JOURNAL OF TECHNOLOGY ASSESSMENT IN HEALTH CARE","PEO Health","1.494",69,"United Kingdom","Cambridge University Press","1970, 1978, 1985-2020",0.00205,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,25,66,66,"38%","0%","38% (25)","0% (0)",NA,NA,NA,NA,"1","1","100.0%","100.0% (1)","25","66","37.9%","37.9% (25)","20","34","58.8%","58.8% (20)",NA,NA,NA,NA,"1","1.5%","1.5% (1)","17","25.8%","25.8% (17)","1","1.5%","1.5% (1)","31","47.0%","47.0% (31)","3","4.5%","4.5% (3)",NA,NA,NA,"13","19.7%","19.7% (13)","57","86.4%","86.4% (57)",NA,NA,NA,"5","7.6%","7.6% (5)",NA,NA,NA,"4","6.1%","6.1% (4)","14","21.2%","21.2% (14)","31","47.0%","47.0% (31)","2","3.0%","3.0% (2)","1","1.5%","1.5% (1)","15","22.7%","22.7% (15)","2","3.0%","3.0% (2)","1","1.5%","1.5% (1)",NA,NA,NA,"1","1.5%","1.5% (1)","8","12.1%","12.1% (8)","1","1.5%","1.5% (1)","2","3.0%","3.0% (2)",NA,NA,NA,"54","81.8%","81.8% (54)"
"328","International Journal of the Commons","Environment","1.423",26,"United States","International Association for the Study of the Commons","2011-2020",0.00146,"Americas","Western European and Other","North America","High-income",".204",0,15,33,33,"46%","0%","46% (15)","0% (0)",NA,NA,NA,NA,"0","3","0.0%","0.0% (0)","15","33","45.5%","45.5% (15)","0","3","0.0%","0.0% (0)",NA,NA,NA,NA,"2","6.1%","6.1% (2)","14","42.4%","42.4% (14)",NA,NA,NA,"11","33.3%","33.3% (11)","3","9.1%","9.1% (3)",NA,NA,NA,"3","9.1%","9.1% (3)","27","81.8%","81.8% (27)",NA,NA,NA,"2","6.1%","6.1% (2)",NA,NA,NA,"4","12.1%","12.1% (4)","5","15.2%","15.2% (5)","11","33.3%","33.3% (11)","1","3.0%","3.0% (1)",NA,NA,NA,"13","39.4%","39.4% (13)","1","3.0%","3.0% (1)","2","6.1%","6.1% (2)",NA,NA,NA,"2","6.1%","6.1% (2)","5","15.2%","15.2% (5)",NA,NA,NA,"1","3.0%","3.0% (1)",NA,NA,NA,"25","75.8%","75.8% (25)"
"329","International Journal of Transgender Health","PEO Health","3.369",37,"United States","Haworth Press Inc.","1997-2002, 2005-2019",0.00119,"Americas","Western European and Other","North America","High-income",".204",0,54,107,107,"50%","0%","50% (54)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","54","107","50.5%","50.5% (54)","8","18","44.4%","44.4% (8)",NA,NA,NA,NA,NA,NA,NA,"62","57.9%","57.9% (62)",NA,NA,NA,"37","34.6%","34.6% (37)",NA,NA,NA,NA,NA,NA,"8","7.5%","7.5% (8)","102","95.3%","95.3% (102)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","4.7%","4.7% (5)","8","7.5%","7.5% (8)","37","34.6%","34.6% (37)","4","3.7%","3.7% (4)",NA,NA,NA,"58","54.2%","54.2% (58)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","3.7%","3.7% (4)",NA,NA,NA,"103","96.3%","96.3% (103)"
"330","International Journal of Urban Sciences","Environment","1.831",20,"United Kingdom","Taylor and Francis Ltd.","1998-2020",0.00071,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,4,38,38,"10%","0%","10% (4)","0% (0)",NA,NA,NA,NA,"0","3","0.0%","0.0% (0)","4","38","10.5%","10.5% (4)","0","8","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"13","34.2%","34.2% (13)",NA,NA,NA,"7","18.4%","18.4% (7)","1","2.6%","2.6% (1)",NA,NA,NA,"17","44.7%","44.7% (17)","36","94.7%","94.7% (36)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","5.3%","5.3% (2)","18","47.4%","47.4% (18)","7","18.4%","18.4% (7)",NA,NA,NA,NA,NA,NA,"13","34.2%","34.2% (13)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17","44.7%","44.7% (17)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"21","55.3%","55.3% (21)"
"331","International Regional Science Review","Environment","2.213",54,"United States","SAGE Publications Inc.","1975-1984, 1986-2020",0.00071,"Americas","Western European and Other","North America","High-income",".204",0,16,40,40,"40%","0%","40% (16)","0% (0)",NA,NA,NA,NA,"0","2","0.0%","0.0% (0)","16","40","40.0%","40.0% (16)","0","2","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"30","75.0%","75.0% (30)",NA,NA,NA,"8","20.0%","20.0% (8)",NA,NA,NA,NA,NA,NA,"2","5.0%","5.0% (2)","39","97.5%","97.5% (39)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2.5%","2.5% (1)","2","5.0%","5.0% (2)","8","20.0%","20.0% (8)","1","2.5%","2.5% (1)",NA,NA,NA,"29","72.5%","72.5% (29)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","5.0%","5.0% (2)",NA,NA,NA,"1","2.5%","2.5% (1)",NA,NA,NA,"37","92.5%","92.5% (37)"
"332","International Soil and Water Conservation Research","Environment","3.77",29,"Netherlands",NA,"2013-2020",0.00158,"Europe","Western European and Other","Europe and Central Asia","High-income",".043",2,14,76,78,"18%","3%","18% (14)","3% (2)",NA,NA,NA,NA,"0","2","0.0%","0.0% (0)","14","76","18.4%","18.4% (14)","11","47","23.4%","23.4% (11)",NA,NA,NA,NA,NA,NA,NA,"23","29.5%","29.5% (23)","2","2.6%","2.6% (2)","20","25.6%","25.6% (20)","3","3.8%","3.8% (3)",NA,NA,NA,"30","38.5%","38.5% (30)","36","46.2%","46.2% (36)",NA,NA,NA,"4","5.1%","5.1% (4)",NA,NA,NA,"38","48.7%","48.7% (38)","32","41.0%","41.0% (32)","20","25.6%","25.6% (20)","5","6.4%","6.4% (5)","2","2.6%","2.6% (2)","18","23.1%","23.1% (18)","1","1.3%","1.3% (1)",NA,NA,NA,NA,NA,NA,"1","1.3%","1.3% (1)","35","44.9%","44.9% (35)","3","3.8%","3.8% (3)","5","6.4%","6.4% (5)",NA,NA,NA,"34","43.6%","43.6% (34)"
"333","Iranian Journal of Public Health","PEO Health","1.291",39,"Iran","Iranian Journal of Public Health","1973-1980, 1987, 2004-2020",0.00361,"Eastern Mediterranean","Asia and Pacific","Middle East and North Africa","Lower-middle-income",".459",4,4,33,37,"12%","11%","12% (4)","11% (4)","1","18","5.6%","5.6% (1)","0","2","0.0%","0.0% (0)","3","15","20.0%","20.0% (3)","1","3","33.3%","33.3% (1)",NA,NA,NA,NA,NA,NA,NA,"3","8.1%","8.1% (3)","19","51.4%","51.4% (19)","8","21.6%","21.6% (8)","1","2.7%","2.7% (1)",NA,NA,NA,"6","16.2%","16.2% (6)","17","45.9%","45.9% (17)",NA,NA,NA,"19","51.4%","51.4% (19)",NA,NA,NA,"1","2.7%","2.7% (1)","6","16.2%","16.2% (6)","8","21.6%","21.6% (8)",NA,NA,NA,"18","48.6%","48.6% (18)","3","8.1%","8.1% (3)","2","5.4%","5.4% (2)",NA,NA,NA,NA,NA,NA,"1","2.7%","2.7% (1)","24","64.9%","64.9% (24)","1","2.7%","2.7% (1)",NA,NA,NA,NA,NA,NA,"11","29.7%","29.7% (11)"
"334","ISOTOPES IN ENVIRONMENTAL AND HEALTH STUDIES","Environment","1.652",41,"United Kingdom","Taylor and Francis Ltd.","1995-2020",0.00126,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,1,25,25,"4%","0%","4% (1)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","1","25","4.0%","4.0% (1)","0","2","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"4","16.0%","16.0% (4)",NA,NA,NA,"19","76.0%","76.0% (19)",NA,NA,NA,NA,NA,NA,"2","8.0%","8.0% (2)","23","92.0%","92.0% (23)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","8.0%","8.0% (2)","2","8.0%","8.0% (2)","19","76.0%","76.0% (19)",NA,NA,NA,NA,NA,NA,"4","16.0%","16.0% (4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","8.0%","8.0% (2)","2","8.0%","8.0% (2)",NA,NA,NA,NA,NA,NA,"21","84.0%","84.0% (21)"
"335","Israel Journal of Health Policy Research","PEO Health","1.741",18,"United Kingdom","BioMed Central Ltd.","2012-2020",0.00095,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,10,36,36,"28%","0%","28% (10)","0% (0)",NA,NA,NA,NA,"0","2","0.0%","0.0% (0)","10","36","27.8%","27.8% (10)","0","3","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"10","27.8%","27.8% (10)",NA,NA,NA,"26","72.2%","72.2% (26)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"36","100.0%","100.0% (36)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","5.6%","5.6% (2)",NA,NA,NA,"24","66.7%","66.7% (24)","10","27.8%","27.8% (10)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36","100.0%","100.0% (36)"
"336","Italian Journal of Agrometeorology-Rivista Italiana di Agrometeorologia","Environment","1.182",12,"Italy","Firenze University Press","2008-2020",0.00012,"Europe","Western European and Other","Europe and Central Asia","High-income",".069",0,7,38,38,"18%","0%","18% (7)","0% (0)",NA,NA,NA,NA,NA,NA,NA,NA,"7","38","18.4%","18.4% (7)","4","16","25.0%","25.0% (4)",NA,NA,NA,NA,NA,NA,NA,"3","7.9%","7.9% (3)",NA,NA,NA,"32","84.2%","84.2% (32)","1","2.6%","2.6% (1)",NA,NA,NA,"2","5.3%","5.3% (2)","34","89.5%","89.5% (34)",NA,NA,NA,"1","2.6%","2.6% (1)",NA,NA,NA,"3","7.9%","7.9% (3)","2","5.3%","5.3% (2)","32","84.2%","84.2% (32)","2","5.3%","5.3% (2)",NA,NA,NA,"1","2.6%","2.6% (1)","1","2.6%","2.6% (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","5.3%","5.3% (2)","2","5.3%","5.3% (2)","2","5.3%","5.3% (2)",NA,NA,NA,"32","84.2%","84.2% (32)"
"337","JOURNAL OF ADOLESCENT HEALTH","PEO Health","3.945",161,"United States","Elsevier USA","1991-2020",0.02641,"Americas","Western European and Other","North America","High-income",".204",0,58,97,97,"60%","0%","60% (58)","0% (0)",NA,NA,NA,NA,"1","1","100.0%","100.0% (1)","58","97","59.8%","59.8% (58)","4","5","80.0%","80.0% (4)",NA,NA,NA,NA,"5","5.2%","5.2% (5)","75","77.3%","77.3% (75)",NA,NA,NA,"9","9.3%","9.3% (9)","1","1.0%","1.0% (1)",NA,NA,NA,"7","7.2%","7.2% (7)","90","92.8%","92.8% (90)",NA,NA,NA,"4","4.1%","4.1% (4)",NA,NA,NA,"3","3.1%","3.1% (3)","7","7.2%","7.2% (7)","9","9.3%","9.3% (9)",NA,NA,NA,NA,NA,NA,"75","77.3%","77.3% (75)","1","1.0%","1.0% (1)","5","5.2%","5.2% (5)",NA,NA,NA,"5","5.2%","5.2% (5)","3","3.1%","3.1% (3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"89","91.8%","91.8% (89)"
"338","JOURNAL OF AEROSOL SCIENCE","Environment","2.649",110,"United Kingdom","Elsevier Ltd.","1970-2021",0.00459,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,9,30,30,"30%","0%","30% (9)","0% (0)",NA,NA,NA,NA,"0","2","0.0%","0.0% (0)","9","30","30.0%","30.0% (9)","0","4","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"7","23.3%","23.3% (7)",NA,NA,NA,"14","46.7%","46.7% (14)","1","3.3%","3.3% (1)",NA,NA,NA,"8","26.7%","26.7% (8)","24","80.0%","80.0% (24)",NA,NA,NA,"1","3.3%","3.3% (1)",NA,NA,NA,"5","16.7%","16.7% (5)","8","26.7%","26.7% (8)","14","46.7%","46.7% (14)",NA,NA,NA,NA,NA,NA,"7","23.3%","23.3% (7)","1","3.3%","3.3% (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","26.7%","26.7% (8)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"22","73.3%","73.3% (22)"
"339","JOURNAL OF AGRICULTURAL & ENVIRONMENTAL ETHICS","Environment","1.464",47,"Netherlands","Springer Netherlands","1991-2020",0.00139,"Europe","Western European and Other","Europe and Central Asia","High-income",".043",0,5,14,14,"36%","0%","36% (5)","0% (0)",NA,NA,NA,NA,"1","1","100.0%","100.0% (1)","5","14","35.7%","35.7% (5)","1","1","100.0%","100.0% (1)",NA,NA,NA,NA,NA,NA,NA,"6","42.9%","42.9% (6)",NA,NA,NA,"6","42.9%","42.9% (6)",NA,NA,NA,NA,NA,NA,"2","14.3%","14.3% (2)","14","100.0%","100.0% (14)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","14.3%","14.3% (2)","6","42.9%","42.9% (6)",NA,NA,NA,NA,NA,NA,"6","42.9%","42.9% (6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","100.0%","100.0% (14)"
"340","Journal of Agricultural Education & Extension","Environment","1.52",25,"United Kingdom","Taylor and Francis Ltd.","2010-2020",0.00045,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,11,25,25,"44%","0%","44% (11)","0% (0)",NA,NA,NA,NA,"1","2","50.0%","50.0% (1)","11","25","44.0%","44.0% (11)","7","11","63.6%","63.6% (7)",NA,NA,NA,NA,"3","12.0%","12.0% (3)","6","24.0%","24.0% (6)",NA,NA,NA,"11","44.0%","44.0% (11)","2","8.0%","8.0% (2)",NA,NA,NA,"3","12.0%","12.0% (3)","19","76.0%","76.0% (19)",NA,NA,NA,"3","12.0%","12.0% (3)",NA,NA,NA,"3","12.0%","12.0% (3)","3","12.0%","12.0% (3)","11","44.0%","44.0% (11)","1","4.0%","4.0% (1)",NA,NA,NA,"5","20.0%","20.0% (5)","2","8.0%","8.0% (2)","3","12.0%","12.0% (3)",NA,NA,NA,"3","12.0%","12.0% (3)","2","8.0%","8.0% (2)",NA,NA,NA,"1","4.0%","4.0% (1)",NA,NA,NA,"19","76.0%","76.0% (19)"
"341","Journal of Agromedicine","PEO Health","1.221",30,"United States","Taylor and Francis Ltd.","1994-2020",0.00068,"Americas","Western European and Other","North America","High-income",".204",0,14,26,26,"54%","0%","54% (14)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","14","26","53.8%","53.8% (14)","1","2","50.0%","50.0% (1)",NA,NA,NA,NA,NA,NA,NA,"23","88.5%","88.5% (23)",NA,NA,NA,"1","3.8%","3.8% (1)",NA,NA,NA,NA,NA,NA,"2","7.7%","7.7% (2)","26","100.0%","100.0% (26)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","7.7%","7.7% (2)","1","3.8%","3.8% (1)",NA,NA,NA,NA,NA,NA,"23","88.5%","88.5% (23)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","100.0%","100.0% (26)"
"342","JOURNAL OF AMERICAN COLLEGE HEALTH","PEO Health","1.71",95,"United States","Routledge","1982-2020",0.00272,"Americas","Western European and Other","North America","High-income",".204",0,17,31,31,"54%","0%","54% (17)","0% (0)",NA,NA,NA,NA,"1","1","100.0%","100.0% (1)","17","31","54.8%","54.8% (17)","1","2","50.0%","50.0% (1)",NA,NA,NA,NA,NA,NA,NA,"31","100.0%","100.0% (31)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31","100.0%","100.0% (31)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31","100.0%","100.0% (31)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31","100.0%","100.0% (31)"
"343","Journal of Applied Remote Sensing","Environment","1.36",45,"United States","SPIE","2007-2020",0.00449,"Americas","Western European and Other","North America","High-income",".204",0,5,31,31,"16%","0%","16% (5)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","5","31","16.1%","16.1% (5)","0","3","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"15","48.4%","48.4% (15)","1","3.2%","3.2% (1)","11","35.5%","35.5% (11)",NA,NA,NA,NA,NA,NA,"4","12.9%","12.9% (4)","26","83.9%","83.9% (26)",NA,NA,NA,"1","3.2%","3.2% (1)",NA,NA,NA,"4","12.9%","12.9% (4)","4","12.9%","12.9% (4)","11","35.5%","35.5% (11)",NA,NA,NA,"1","3.2%","3.2% (1)","15","48.4%","48.4% (15)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3.2%","3.2% (1)","3","9.7%","9.7% (3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"27","87.1%","87.1% (27)"
"344","Journal of Architectural and Planning Research","Environment",".439",26,"United States","Locke Science Publishing Company Inc.","1984-2019",9e-05,"Americas","Western European and Other","North America","High-income",".204",0,39,157,157,"24%","0%","24% (39)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","39","157","24.8%","24.8% (39)","3","10","30.0%","30.0% (3)",NA,NA,NA,NA,"1","0.6%","0.6% (1)","119","75.8%","75.8% (119)",NA,NA,NA,"25","15.9%","15.9% (25)",NA,NA,NA,NA,NA,NA,"12","7.6%","7.6% (12)","156","99.4%","99.4% (156)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0.6%","0.6% (1)","12","7.6%","7.6% (12)","22","14.0%","14.0% (22)",NA,NA,NA,"3","1.9%","1.9% (3)","119","75.8%","75.8% (119)",NA,NA,NA,"1","0.6%","0.6% (1)",NA,NA,NA,"1","0.6%","0.6% (1)","4","2.5%","2.5% (4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"152","96.8%","96.8% (152)"
"345","JOURNAL OF ARID ENVIRONMENTS","Environment","1.83",115,"United States","Academic Press Inc.","1980-2021",0.0049,"Americas","Western European and Other","North America","High-income",".204",2,11,43,45,"26%","4%","26% (11)","4% (2)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","11","43","25.6%","25.6% (11)","3","10","30.0%","30.0% (3)",NA,NA,NA,NA,"8","17.8%","17.8% (8)","18","40.0%","40.0% (18)",NA,NA,NA,"8","17.8%","17.8% (8)",NA,NA,NA,NA,NA,NA,"11","24.4%","24.4% (11)","27","60.0%","60.0% (27)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","40.0%","40.0% (18)","11","24.4%","24.4% (11)","7","15.6%","15.6% (7)","8","17.8%","17.8% (8)","1","2.2%","2.2% (1)","10","22.2%","22.2% (10)",NA,NA,NA,"8","17.8%","17.8% (8)",NA,NA,NA,"8","17.8%","17.8% (8)","4","8.9%","8.9% (4)",NA,NA,NA,"8","17.8%","17.8% (8)",NA,NA,NA,"25","55.6%","55.6% (25)"
"346","Journal of Arid Land","Environment","1.899",27,"China","Science Press","2009-2020",0.00207,"Western Pacific","Asia and Pacific","East Asia and Pacific","Upper-middle-income",".168",2,5,67,69,"8%","3%","8% (5)","3% (2)",NA,NA,NA,NA,"0","2","0.0%","0.0% (0)","5","67","7.5%","7.5% (5)","0","12","0.0%","0.0% (0)",NA,NA,NA,NA,"1","1.4%","1.4% (1)","3","4.3%","4.3% (3)","6","8.7%","8.7% (6)","16","23.2%","23.2% (16)",NA,NA,NA,NA,NA,NA,"43","62.3%","62.3% (43)","17","24.6%","24.6% (17)",NA,NA,NA,"9","13.0%","13.0% (9)",NA,NA,NA,"43","62.3%","62.3% (43)","43","62.3%","62.3% (43)","15","21.7%","21.7% (15)",NA,NA,NA,"6","8.7%","8.7% (6)","3","4.3%","4.3% (3)","1","1.4%","1.4% (1)","1","1.4%","1.4% (1)",NA,NA,NA,"2","2.9%","2.9% (2)","47","68.1%","68.1% (47)","4","5.8%","5.8% (4)",NA,NA,NA,NA,NA,NA,"16","23.2%","23.2% (16)"
"347","Journal of Arthropod-Borne Diseases","PEO Health","1.11",21,"Iran","Tehran University of Medical Sciences","2012-2020",0.00079,"Eastern Mediterranean","Asia and Pacific","Middle East and North Africa","Lower-middle-income",".459",1,3,20,21,"16%","5%","16% (3)","5% (1)","2","9","22.2%","22.2% (2)","0","1","0.0%","0.0% (0)","1","11","9.1%","9.1% (1)","0","1","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"2","9.5%","9.5% (2)","12","57.1%","57.1% (12)","6","28.6%","28.6% (6)",NA,NA,NA,NA,NA,NA,"1","4.8%","4.8% (1)","7","33.3%","33.3% (7)",NA,NA,NA,"12","57.1%","57.1% (12)",NA,NA,NA,"2","9.5%","9.5% (2)","1","4.8%","4.8% (1)","6","28.6%","28.6% (6)","1","4.8%","4.8% (1)","12","57.1%","57.1% (12)","1","4.8%","4.8% (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","61.9%","61.9% (13)","1","4.8%","4.8% (1)","1","4.8%","4.8% (1)",NA,NA,NA,"6","28.6%","28.6% (6)"
